a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.1-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.2-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-1
amd-ucode 20250408.c1a774f3-1
aom 3.12.1-1
appstream 1.0.4-1
aquamarine-git 0.8.0_r281.g1d2dbd7-1
arch-install-scripts 29-1
archlinux-keyring 20250123-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.56.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.2.037-2
bibata-cursor-theme 2.0.7-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.4-1
blueprint-compiler 0.16.0-1
bluez 5.82-1
bluez-libs 5.82-1
bluez-utils 5.82-1
boost-libs 1.87.0-3
brotli 1.1.0-3
btop 1.4.0-5
btrfs-progs 6.14-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.110-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cbindgen 0.28.0-1
cblas 3.12.1-2
ccache 4.11.2-1
cdparanoia 10.2-9
clang 19.1.7-1
cliphist 1:0.6.1-1
clucene 2.3.3.4-16
cmake 4.0.1-1
compiler-rt 19.1.7-1
confuse 3.3-4
containerd 2.0.5-1
coreutils 9.7-1
cpio 2.15-2
cppdap 1.58.0-2
cryptsetup 2.7.5-2
cups 2:2.4.12-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
curl 8.13.0-2
dart-sass 1.86.3-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.114-1
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.12-1
directx-headers 1.615.0-2
dkms 3.1.8-1
docbook-xml 4.5-10
docbook-xsl 1.79.2-9
docker 1:28.1.1-1
docker-compose 2.35.1-1
dosfstools 4.2-5
dotnet-host 9.0.4.sdk105-1
dotnet-runtime 9.0.4.sdk105-1
dotnet-runtime-8.0 8.0.15.sdk115-1
dotnet-sdk 9.0.4.sdk105-1
dotnet-targeting-pack 9.0.4.sdk105-1
double-conversion 3.3.1-1
downgrade 11.5.1-1
duktape 2.7.0-7
dump_syms 2.3.4-1
e2fsprogs 1.47.2-2
efibootmgr 18-3
efivar 39-1
elfutils 0.192-4
enchant 2.8.2-2
ethtool 1:6.11-1
exo 4.20.0-2
expat 2.7.1-1
faad2 2.11.2-1
fakeroot 1.37.1.1-1
fastfetch 2.41.0-1
feh 3.10.3-1
ffmpeg 2:7.1-9
ffmpeg4.4 4.4.5-3
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
file 5.46-4
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox-beta-bin 138.0b9-1
flac 1.5.0-1
flashrom 1.5.1-1
flex 2.6.4-5
fmt 11.1.4-1
fontconfig 2:2.16.2-1
freeglut 3.6.0-1
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.17.1-1
