7zip 24.09-3
a52dec 0.8.0-2
abseil-cpp 20240722.0-1
acl 2.3.2-1
acpi 1.7-4
acpi_call 1.2.2-255
acpid 2.0.34-2
acpilight 1.2-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.2.7-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
amd-ucode 20250109.7673dffd-1
aom 3.11.0-1
appstream 1.0.4-1
aquamarine-git 0.7.1_r255.ge7719f9-1
archlinux-keyring 20241203-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.54.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.2-3
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bash-completion 2.15.0-1
bibata-cursor-theme 2.0.7-1
bind 9.20.4-2
binutils 2.43_1+r171+g01da089627be-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.3-2
bluez 5.79-1
bluez-libs 5.79-1
bluez-utils 5.79-1
boost 1.86.0-6
boost-libs 1.86.0-6
breeze-icons 6.10.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop-git 1.3.2.r1090.00c9088-1
btrfs-progs 6.12-2
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.1-2
cdparanoia 10.2-9
clang 19.1.6-1
cliphist 1:0.6.1-1
clucene 2.3.3.4-15
cmake 3.31.4-1
colord 1.4.7-2
compiler-rt 19.1.6-1
containerd 2.0.2-1
coreutils 9.5-2
cppdap 1.58.0-2
cronie 1.7.2-1
cryptsetup 2.7.5-2
cups 2:2.4.11-2
cups-filters 2.0.1-2
cups-pdf 3.0.1-8
curl 8.11.1-3
dart-sass 1.82.0-1
dav1d 1.5.0-1
db5.3 5.3.28-5
dbus 1.16.0-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.29-1
diffutils 3.10-1
dkms 3.1.4-1
dmidecode 3.6-1
dnssec-anchors 20190629-4
docker 1:27.3.1-1
docker-compose 2.32.3-1
dosfstools 4.2-5
dotnet-host 8.0.11.sdk111-1
dotnet-runtime 8.0.11.sdk111-1
dotnet-sdk 8.0.11.sdk111-1
dotnet-targeting-pack 8.0.11.sdk111-1
double-conversion 3.3.0-2
duktape 2.7.0-7
e2fsprogs 1.47.2-1
efibootmgr 18-3
efivar 39-1
eigen 3.4.0-2
elementary-icon-theme 8.1.0-1
exo 4.20.0-2
expat 2.6.4-1
faad2 2.11.1-1
fakeroot 1.36.2-1
fastfetch 2.34.1-1
feh-git 3.10.3.r4.g70a7b06-1
ffmpeg 2:7.1-5
ffmpeg4.4 4.4.5-2
fftw 3.3.10-7
file 5.46-3
file-roller 44.4-1
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 134.0-1
flac 1.4.3-2
flex 2.6.4-5
fmt 11.1.1-2
fontconfig 2:2.15.0-2
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
garcon 4.20.0-2
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-2
gcc-fortran 14.2.1+r134+gab884fffe3fc-2
gcc-libs 14.2.1+r134+gab884fffe3fc-2
